title,description,category
Stances in palliative sedation training,"PROPÓSITO DEL ESTUDIO: 1. Revisión teórica de la sedación paliativa. 2. Establecer una comparación entre las actitudes éticas y el grado de formación en sedación paliativa de los estudiantes de sexto curso de la Universidad de Medicina de Zaragoza y un grupo de profesionales médicos en activo de las especialidades de Medicina Interna, Oncología y Medicina de Familia. MATERIAL Y MÉTODOS: 1. Revisión bibliográfica de conceptos teóricos vinculados directa e indirectamente con la sedación paliativa. 2. Realización de un estudio de campo en Zaragoza con estudiantes y médicos mediante una encuesta anónima con 10 ítems.   RESULTADOS: con una tasa media de respuesta del 41,38%, se pone de manifiesto un déficit en el conocimiento de términos teóricos sobre sedación paliativa y sus indicaciones, más acusado en los estudiantes que en el sector médico. Este desconocimiento puede dejar interferir los valores éticos y morales del profesional médico, tal y como muestran algunas de las respuestas obtenidas en el estudio, lo que podría conducir a una errónea aplicación de la sedación paliativa en el paciente terminal. CONCLUSIÓN: es un estudio preliminar que pretende ser útil para sentar las bases de estudios posteriores relacionados con la formación universitaria en medicina paliativa, al exponer una necesidad de mejora en la misma, demandada también por los propios estudiantes que consideran este ítem fundamental en su formación médica.",Salud
Opening the chests. A memoir of aragonese clothing.,"Abriendo Baúles es un proyecto expositivo de indumentaria aragonesa, cuyo diálogo discurre a través de diferentes manifestaciones artísticas relacionadas con el patrimonio etnológico aragonés y en cómo se ha ido representado a lo largo de la historia. Una muestra evolutiva entre las diferentes muestras artísticas, además de una muestra didáctica del uso correcto de la indumentaria hoy en día, donde principalmente se exponen piezas textiles de gran interés, junto con piezas de orfebrería y fotografía histórica; sin embargo, de manera paralela encontramos obras pictóricas de Joaquín Sorolla y Francisco Marín Bagües, que consiguen representar el carácter regionalista de manera excepcional.",Artes
Clinical and microbiological features of nosocomial infections in a Neurosurgery service. Comparison of morbidity and mortality after allocation of a full time internist.,"Objetivo: Conocer las características de las infecciones nosocomiales en un servicio de Neurocirugía (localizaciones más frecuentes, gérmenes causantes), los factores intrínsecos y extrínsecos de los pacientes, e indicadores hospitalarios (estancia total, estancia en UCI, mortalidad) y determinar si existe alguna relación entre estos parámetros y si la Asistencia Compartida aporta ventajas sobre el modelo anterior de la interconsulta, comparando estancia media y mortalidad en distintos periodos de tiempo: previo a la asignación del internista y tras su incorporación al servicio a tiempo completo. Material y métodos: Se realizó un estudio epidemiológico descriptivo transversal en el que se incluyeron 56 pacientes ingresados en la planta de Neurocirugía del Hospital Clínico Universitario “Lozano Blesa” en el año 2014 y que desarrollaron una infección nosocomial durante su estancia. Mediante búsqueda en las historias clínicas se recogió la información y se hizo análisis estadístico de los datos mediante el programa informático SPSS versión 22. Resultados: La edad media de los pacientes fue de 61.9 años. Las infecciones más frecuentes fueron las del tracto urinario (41.1%), las respiratorias de vías bajas (28.6%), las bacteriemias (12.5%) y las de herida quirúrgica (10.7%). Los gérmenes que más se aislaron Escherichia coli (31.9%) y Pseudomonas aeruginosa (25.5%). La patología tumoral y las hemorragias subdurales y parenquimatosas, los principales motivos de ingreso (23.2%, 19.6% y 12.5% respectivamente). La estancia total media fue de 30.31 días, en el periodo previo a la asignación de internista de 25.35 días y tras su incorporación a tiempo completo de 34.76 días. La mortalidad fue del 8.9%, sin internista 11.53% y con internista 6.66%. Conclusiones: No se encontró relación entre la técnica quirúrgica, su duración y el germen con la mortalidad ni con la estancia total. La mortalidad en el grupo con Asistencia Compartida disminuyó, pero no la estancia media que aumentó en casi 10 días. Serían necesarios otros estudios que recogieran una muestra mayor de pacientes y en los que la estancia total no estuviera influenciada por el traslado al servicio de Medicina Interna, en el periodo previo a la asignación del internista, de los pacientes con infecciones nosocomiales.",Salud
Intervención antitabáquica en profesionales sanitarios de la Comunidad Autónoma de Aragón.,"OBJETIVOS: Conocer prevalencia sanitarios fumadores, actuación del sanitario en la consulta diaria ante el fumador y conocimientos previos sobre este tema. Estudiar el impacto de una intervención orientada a aumentar las habilidades del profesional en el tratamiento de la deshabituación tabáquica. DISEÑO: Ensayo comunitario, aleatorio, grupo control paralelo y triple ciego. ÁMBITO: Atención Primaria (AP) y Especializada de la CCAA de Aragón. METODOLOGÍA: Prueba piloto para establecer las especialidades que se incluirán en el estudio. Cuestionario anónimo, dirigido a Médicos (especialistas, MIR) y a Diplomados enfermería (DE). Intervención tras cumplimentar cuestionario, sobre tratamientos farmacológicos en deshabituación tabáquica en grupo intervención y sobre actuación antitabáquica excepto tratamientos farmacológicos en grupo control. Cuestionario enviado por correo a los dos meses de la intervención para analizar cambios.  RESULTADOS: Prevalencia fumadores sanitarios: DE 28,7%, Médicos 25,8% (MIR 28,6% y especialistas 23%). La mayor parte en AP (26,6%), mujeres, 25,9%, entre 35 y 49 años. No cuesta abordar 55,9%. Se consideran capacitados 52,9%.  Detectan fumadores 65,2% de los sanitarios. Ofrecen consejo 61,6%. Precisan etapa en que se encuentra el fumador 53%. Informan sobre tratamiento farmacológico 46%. Fijan fechas definitivas para dejar de fumar 21,7%. Pautan tratamiento farmacológico de deshabituación tabáquica 20%. El 67,3% de los sanitarios no conocían tratamientos de primera y segunda elección.  CONCLUSIONES: A pesar de que más de la mitad se consideran capacitados y no les cuesta abordar el tema, poco más de la mitad detectan fumadores y los clasifican y menos de la mitad informan sobre tratamiento farmacológico.  ",Salud
The challenge of learning to teach,"El Máster en Profesorado de la Universidad de Zaragoza ayuda a adquirir los conocimientos, actitudes y habilidades necesarios para ejercer como docente. La consecución de competencias personales, profesionales y sociales se va realizando a través de las distintas asignaturas que se cursan en el Máster y de las prácticas que se realizan en los centros educativos. El presente Trabajo Fin de Máster hace un recorrido a través de dos trabajos que han resultado muy significativos y que se han revelado  complementarios para la obtención de las competencias específicas y transversales objeto del Máster. Los trabajos seleccionados implican por un lado, la elaboración de un proyecto de investigación docente e innovación en el aula donde mediante la implementación de metodologías activas con Tecnologías de la Información y la Comunicación (TIC), se analizó la incidencia de estos nuevos métodos sobre la motivación del alumnado; y por otro lado, un proyecto centrado en las habilidades comunicativas del docente, que permitía aunar y estudiar las formas de transmisión de conocimientos, la gestión emocional y la interacción con los estudiantes en el aula. Para ello, se realiza en primer lugar un estudio del concepto de competencia, luego se sintetizan y justifican teóricamente ambos proyectos, para a continuación presentar una reflexión crítica de lo vivido en el Máster, que abre paso a unas conclusiones y unas propuestas de futuro como docente.  <br />",Ciencia
Terapia Ocupacional y trastornos de personalidad,"El objetivo general de este trabajo es describir los trastornos de la personalidad y comprender las dos maneras de conocer su diagnóstico desde modelos categoriales y dimensionales. Dado que ambos tienen limitaciones por separado, conviene aplicarlos de manera combinada. Los primeros se refieren a la clasificación y criterios definidos por el DSM IV y los segundos son clasificaciones que nos permiten conocer la intensidad de un determinado rasgo de personalidad.  Este trabajo consta de una conceptualización de un caso clínico de una persona diagnosticada de un trastorno límite de la personalidad, a través del cual se hace una integración de toda la información disponible respecto a síntomas actuales, características de la personalidad, estresores psicosociales, etc., que permitirá comprender en qué medida es patológico el cuadro global. Para concluir, se aplica un plan de intervención desde perspectiva de la Terapia Ocupacional en un centro de día, recurso que queda descrito y diferenciado de los diferentes ámbitos que desarrollan una atención a la salud mental.",Salud
Health education program destined to teenagers who follow a vegan feeding,"La alimentación vegana excluye completamente los alimentos de origen animal y sus derivados. Se trata de un tipo de dieta que está en auge en España y más concretamente entre los adolescentes por motivos tanto de salud como de lucha por los derechos de los animales.Dicho tipo de dieta puede llegar a ser beneficiosa para el organismo debido a su baja proporción de grasas saturadas y a la gran cantidad de fibra que aporta. Sin embargo, son necesarios conocimientos básicos sobre nutrición para estructurar esta dieta correctamente y que no aparezcan déficits de macro o micronutrientes. El objetivo del presente trabajo es diseñar un programa de educación para la salud sobre educación nutricional para adolescentes que siguen una dieta vegana. La metodología empleada consta de una revisión bibliográfica de las principales bases de datos y páginas web que abordan este tema.<br />Este proyecto concluye que enfermería tiene el deber de educar a los adolescentes que quieran seguir una dieta vegana. Mediante un programa de educación para la salud, se resolverán sus dudas y se les ofrecerá información adecuada.<br /><br /><br />",Ciencia
The area of plastic arts for the promotion of values through animation in pre-school education,"En nuestra sociedad, la televisión es el medio audiovisual favorito de los escolares y, a través del mismo, reciben una gran cantidad de información de los contenidos que visionan y consumen, es decir, de la animación. Como docentes, debemos incorporar la televisión en el ámbito escolar como otro aspecto más de la realidad en la que vivimos. Este Trabajo de Fin de Grado tiene por objetivo el análisis de las características de la animación en cuanto a su diseño gráfico y su gran poder de influencia en la infancia, concretamente en la etapa de Educación Infantil. El método empleado ha sido un estudio, en el que se han analizado las características de los dibujos animados en términos gráficos, su influencia en los escolares, su transmisión de valores y sus posibilidades como recurso didáctico en las aulas. A partir de ese estudio, se ha realizado una selección representativa de diferentes series y películas animadas atendiendo al tipo de animación, a los valores que difunde, así como al estilo gráfico que las representa. Como resultado, se ha obtenido un listado con propuestas de animaciones que se recomiendan como recurso para trabajar en las aulas. A partir de estos datos, se ha diseñado un Proyecto de Aprendizaje con actividades para el aula de Educación Infantil empleando la animación y la expresión plástica como recursos principales. Posteriormente, se han establecido unas conclusiones sobre las relaciones entre la enseñanza a través de la educación artística y las animaciones, pues las últimas tendencias artísticas están abiertas a todo tipo de materiales, entre ellos los recursos audiovisuales. Finalmente, se ha reflexionado acerca de la necesidad de mejorar la formación de los futuros profesionales de la educación en este campo y de renovar los contenidos y la metodología de las aulas, incorporando la televisión como recurso didáctico en las escuelas.  <br />",Artes
The use of ITC resources and language acquisition,Trabajo Fin de Máster,Humanidades
Interests and attitudes toward Physical Education among Secondary Education students in IES Sierra de Guara (Huesca),"El objetivo de este estudio fue conocer las actitudes e intereses que tienen los alumnos hacia la Educación Física, en dos cursos de Secundaria del IES Sierra de Guara, en Huesca. La muestra estuvo compuesta por 160 estudiantes de 2º y 4º de ESO, a los que se les administró el Cuestionario de Actitudes hacia la Educación Física (CAEF) elaborado por Moreno, Rodríguez y Gutiérrez (2003). Los resultados mostraron que las chicas tenían mejor valoración de la asignatura y del profesor que los chicos; el sexo del docente puede que influya en las actitudes de los alumnos hacia la Educación Física; los alumnos de 2º de ESO valoran más a la asignatura y al docente; los chicos de 4º de ESO son los que ven más útil la asignatura y los alumnos de 4º ven la Educación Física más complicada que los de 2º de ESO.<br />",Ciencia
